Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
NSL_KDD,7,DVAE,CAUCHY,0.791972586380508,0.791972586380508,36,0.791972586380508
NSL_KDD,7,DVAE,CONST,0.8207223537379283,0.8207223537379283,9,0.8207223537379283
NSL_KDD,7,DVAE,COSINE,0.7857432219537717,0.7857432219537717,36,0.7857432219537717
NSL_KDD,7,DVAE,EXPONENTIAL,0.7834760569677537,0.7834760569677537,36,0.7834760569677537
NSL_KDD,7,DVAE,FIBONACCI,0.7843334070744932,0.7843334070744932,36,0.7843334070744932
NSL_KDD,7,DVAE,LAPLACE,0.7976133645070621,0.7976133645070621,36,0.7976133645070621
NSL_KDD,7,DVAE,LINEAR,0.7875506096781195,0.7875506096781195,36,0.7875506096781195
NSL_KDD,7,DVAE,LOGISTIC,0.7870738108044278,0.7870738108044278,36,0.7870738108044278
NSL_KDD,7,DVAE,SIGMOID,0.7808063406300991,0.7808063406300991,36,0.7808063406300991
NSL_KDD,7,FF_DAE,CAUCHY,0.8555749704218604,0.8555749704218604,36,0.8555749704218604
NSL_KDD,7,FF_DAE,CONST,0.8217006498810441,0.8217006498810441,9,0.8217006498810441
NSL_KDD,7,FF_DAE,COSINE,0.848185848963418,0.848185848963418,36,0.848185848963418
NSL_KDD,7,FF_DAE,EXPONENTIAL,0.8488373052824784,0.8488373052824784,36,0.8488373052824784
NSL_KDD,7,FF_DAE,FIBONACCI,0.8360325257392653,0.8360325257392653,36,0.8360325257392653
NSL_KDD,7,FF_DAE,LAPLACE,0.8501542683310493,0.8501542683310493,36,0.8501542683310493
NSL_KDD,7,FF_DAE,LINEAR,0.8438670017438232,0.8438670017438232,36,0.8438670017438232
NSL_KDD,7,FF_DAE,LOGISTIC,0.8439869437553553,0.8439869437553553,36,0.8439869437553553
NSL_KDD,7,FF_DAE,SIGMOID,0.84580346060447,0.84580346060447,36,0.84580346060447
NSL_KDD,7,RES_DAE,CAUCHY,0.8452600651735709,0.8452600651735709,36,0.8452600651735709
NSL_KDD,7,RES_DAE,CONST,0.8393197695607415,0.8393197695607415,9,0.8393197695607415
NSL_KDD,7,RES_DAE,COSINE,0.8469163173267482,0.8469163173267482,36,0.8469163173267482
NSL_KDD,7,RES_DAE,EXPONENTIAL,0.8477822457663904,0.8477822457663904,36,0.8477822457663904
NSL_KDD,7,RES_DAE,FIBONACCI,0.8455768728966371,0.8455768728966371,36,0.8455768728966371
NSL_KDD,7,RES_DAE,LAPLACE,0.8454611295391639,0.8454611295391639,36,0.8454611295391639
NSL_KDD,7,RES_DAE,LINEAR,0.8450077347344133,0.8450077347344133,36,0.8450077347344133
