Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
UNSW_NB15,7,DVAE,CAUCHY,0.48594955838119147,0.48594955838119147,36,0.48594955838119147
UNSW_NB15,7,DVAE,CONST,0.4853208870173152,0.4853208870173152,9,0.4853208870173152
UNSW_NB15,7,DVAE,COSINE,0.4858597886614152,0.4858597886614152,36,0.4858597886614152
UNSW_NB15,7,DVAE,EXPONENTIAL,0.451227431536147,0.451227431536147,36,0.451227431536147
UNSW_NB15,7,DVAE,FIBONACCI,0.4404725088650254,0.4404725088650254,36,0.4404725088650254
UNSW_NB15,7,DVAE,LAPLACE,0.4622703966103937,0.4622703966103937,36,0.4622703966103937
UNSW_NB15,7,DVAE,LINEAR,0.486089765711486,0.486089765711486,36,0.486089765711486
UNSW_NB15,7,DVAE,LOGISTIC,0.4858530376610351,0.4858530376610351,36,0.4858530376610351
UNSW_NB15,7,DVAE,SIGMOID,0.48588006297200304,0.48588006297200304,36,0.48588006297200304
UNSW_NB15,7,FF_DAE,CAUCHY,0.5277422824409947,0.5277422824409947,36,0.5277422824409947
UNSW_NB15,7,FF_DAE,CONST,0.5067095762572728,0.5067095762572728,9,0.5067095762572728
UNSW_NB15,7,FF_DAE,COSINE,0.5300079281831539,0.5300079281831539,36,0.5300079281831539
UNSW_NB15,7,FF_DAE,EXPONENTIAL,0.5252270255932083,0.5252270255932083,36,0.5252270255932083
UNSW_NB15,7,FF_DAE,FIBONACCI,0.5262341651634495,0.5262341651634495,36,0.5262341651634495
UNSW_NB15,7,FF_DAE,LAPLACE,0.5255184728211219,0.5255184728211219,36,0.5255184728211219
UNSW_NB15,7,FF_DAE,LINEAR,0.5284303570902416,0.5284303570902416,36,0.5284303570902416
UNSW_NB15,7,FF_DAE,LOGISTIC,0.5314813865961654,0.5314813865961654,36,0.5314813865961654
UNSW_NB15,7,FF_DAE,SIGMOID,0.5289898617290416,0.5289898617290416,36,0.5289898617290416
UNSW_NB15,7,RES_DAE,CAUCHY,0.5242566149770106,0.5242566149770106,36,0.5242566149770106
UNSW_NB15,7,RES_DAE,CONST,0.5218329311954197,0.5218329311954197,9,0.5218329311954197
UNSW_NB15,7,RES_DAE,COSINE,0.5285157238826867,0.5285157238826867,36,0.5285157238826867
UNSW_NB15,7,RES_DAE,EXPONENTIAL,0.5273000050748271,0.5273000050748271,36,0.5273000050748271
